Status,Date,Description,Debit,Credit
Cleared,10/01/2025,"McDonalds 32623 TAYLORS NC null XXXXXXXXXXXX9622",6.48,
Cleared,10/01/2025,"WCG INC. Colorado Spri CO null XXXXXXXXXXXX3601",125.00,
Cleared,10/01/2025,"NORTHHILLSCHURCH.COM TAYLORS SC null XXXXXXXXXXXX9918",511.29,
Cleared,09/29/2025,"BOJANGLES' #1205 TAYLORS SC",3.01,
Cleared,09/29/2025,"Audible*NV7GR84O0 8882835051 NJ null XXXXXXXXXXXX7396",14.95,
Cleared,09/29/2025,"ALDI 76041 TAYLORS SC",83.33,
Cleared,09/28/2025,"MCDONALD'S F1667 GREENVILLE SC",5.40,
Cleared,09/28/2025,"McDonalds 1667 GREENVILLE SC null XXXXXXXXXXXX9622",17.46,
Cleared,09/28/2025,"PUBLIX #632 TAYLORS SC",20.64,
Cleared,09/28/2025,"LITTLE CAESARS 0101 00 TAYLORS SC",14.03,
Cleared,09/27/2025,"TARGET 00019372 TAYLORS SC",4.49,
Cleared,09/26/2025,"POWER HOMESCHOOL 800-941-8100 MO",31.25,
Cleared,09/26/2025,"QT 1104 GREENVILLE SC",40.16,
Cleared,09/24/2025,"WAL-MART #1244 TAYLORS SC",8.45,
Cleared,09/24/2025,"JACK IN THE BOX 6422 SPARTANBURG SC",27.33,
Cleared,09/22/2025,"WM SUPERCENTER #1244 TAYLORS SC",20.85,
Cleared,09/22/2025,"WM SUPERCENTER #1244 TAYLORS SC",100.28,
Cleared,09/21/2025,"McDonalds 32623 TAYLORS NC null XXXXXXXXXXXX9622",4.32,
Cleared,09/21/2025,"WENDYS #0051 GREENVILLE SC",4.32,
Cleared,09/21/2025,"WENDYS #0051 GREENVILLE SC",12.96,
Cleared,09/20/2025,"Disney Plus 8889057888 CA null XXXXXXXXXXXX9971",3.20,
Cleared,09/20/2025,"WAL-MART #4145 GREER SC",20.20,
Cleared,09/20/2025,"CHICK-FIL-A #03967 TRAVELERS RES SC",6.24,
Cleared,09/20/2025,"CHICK-FIL-A #03967 TRAVELERS RES SC",13.58,
Cleared,09/19/2025,"McDonalds 32623 TAYLORS NC null XXXXXXXXXXXX9622",7.98,
Cleared,09/19/2025,"TST*TROPICAL GRILLE DO Greenville SC null XXXXXXXXXXXX1205",11.76,
Cleared,09/19/2025,"WALMART.COM 8009256278 BENTONVILLE AR",9.00,
Cleared,09/19/2025,"QT 1104 GREENVILLE SC",3.93,
Cleared,09/19/2025,"ARBYS ECOM 6936 GREER SC",7.87,
Cleared,09/17/2025,"DOLLAR TREE TAYLORS SC",6.55,
Cleared,09/17/2025,"CHICK-FIL-A #00830 TAYLORS SC",3.46,
Cleared,09/17/2025,"CHICK-FIL-A #00830 TAYLORS SC null XXXXXXXXXXXX1205",3.88,
